Model,Class,%pixels
RF,Hills/Rocky,20.91
RF,Crop Fields,10.86
RF,Fallow Land,13.09
RF,Water Body,21.18
RF,Sandy River,4.9
RF,Plantation,23.06
RF,Built-up,5.99
CNN,Hills/Rocky,29.29
CNN,Crop Fields,20.05
CNN,Fallow Land,22.67
CNN,Water Body,5.75
CNN,Sandy River,7.79
CNN,Plantation,8.23
CNN,Built-up,6.22
U-Net Scratch,Hills/Rocky,98.73
U-Net Scratch,Crop Fields,0.0
U-Net Scratch,Fallow Land,1.27
U-Net Scratch,Water Body,0.0
U-Net Scratch,Sandy River,0.0
U-Net Scratch,Plantation,0.0
U-Net Scratch,Built-up,0.0
U-Net Pretrained,Hills/Rocky,24.07
U-Net Pretrained,Crop Fields,46.41
U-Net Pretrained,Fallow Land,26.92
U-Net Pretrained,Water Body,0.05
U-Net Pretrained,Sandy River,0.2
U-Net Pretrained,Plantation,0.0
U-Net Pretrained,Built-up,2.36
Ensemble,Hills/Rocky,75.76
Ensemble,Crop Fields,11.5
Ensemble,Fallow Land,9.02
Ensemble,Water Body,1.17
Ensemble,Sandy River,1.06
Ensemble,Plantation,1.36
Ensemble,Built-up,0.13
